factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
75,odometry,74,"odom(74,75)","[74, 75]","[-0.06983447594907499, 0.007767444813993468, -0.028940878864609054]",2.0607137426025086,1.0
76,odometry,75,"odom(75,76)","[75, 76]","[-0.059086995475229, 0.014776804239179736, -0.004095401962005862]",1.1765009028525224,1.0
77,odometry,76,"odom(76,77)","[76, 77]","[-0.0437103155072216, 0.023944652445706843, -0.006982899172966572]",1.1180943446973715,1.0
78,odometry,77,"odom(77,78)","[77, 78]","[0.013837730904509682, 0.02799314463532704, -0.013482474785148746]",1.124289669827354,1.0
79,odometry,78,"odom(78,79)","[78, 79]","[0.03095725930394433, 0.02564874687666915, -0.017702601219361735]",1.3494689083708946,1.0
80,odometry,79,"odom(79,80)","[79, 80]","[0.03717200274293114, 0.024257466131013317, -0.020799989464240998]",1.5074592488728797,1.0
81,odometry,80,"odom(80,81)","[80, 81]","[0.015910770932319074, 0.02476872751893, -0.034905742413114726]",2.084471682963835,1.0
82,odometry,81,"odom(81,82)","[81, 82]","[0.01568710792566308, 0.024792120295322795, -0.03907798231982795]",2.301378225801156,1.0
83,odometry,82,"odom(82,83)","[82, 83]","[0.010829910252988684, 0.025214509519746367, -0.04104618131140958]",2.3995282312518933,1.0
84,odometry,83,"odom(83,84)","[83, 84]","[0.016177728438985794, 0.024740374795607006, -0.044759325387726534]",2.601827342971207,1.0
85,odometry,84,"odom(84,85)","[84, 85]","[0.010305661227883789, 0.007413473890632294, -0.04328304152658902]",2.421185722698774,1.0
86,odometry,85,"odom(85,86)","[85, 86]","[0.0014121423526688437, 0.002578194107149776, -0.026038804145396277]",1.448702053511095,1.0
87,odometry,86,"odom(86,87)","[86, 87]","[0.0016066010556994303, 0.002559405205999961, -0.026518046952291208]",1.4753277845670325,1.0
88,odometry,87,"odom(87,88)","[87, 88]","[0.0012448308863864943, 0.002592178101989445, -0.027011694689176302]",1.5026466706700254,1.0
89,odometry,88,"odom(88,89)","[88, 89]","[0.0015167969480471832, 0.002568243728072815, -0.027573153090640456]",1.5338462632466074,1.0
90,odometry,89,"odom(89,90)","[89, 90]","[-0.021087007909636468, -0.006286009554862159, -0.01880418539409634]",1.1272097818656444,1.0
91,odometry,90,"odom(90,91)","[90, 91]","[-0.038310028744809044, -0.007930795177191806, -0.00147970423425825]",0.7370746218901995,1.0
92,odometry,91,"odom(91,92)","[91, 92]","[-0.036122122197680406, -0.008228283363678632, 0.00041783234106063105]",0.6979608378642829,1.0
93,odometry,92,"odom(92,93)","[92, 93]","[-0.03588649072616307, -0.008395267060919918, 0.0012133239026299592]",0.6984347502587822,1.0
94,odometry,93,"odom(93,94)","[93, 94]","[-0.041383165212432904, -0.0009068807076413887, 0.000559188730703486]",0.7535078719594449,1.0
95,odometry,94,"odom(94,95)","[94, 95]","[-0.04080875960952468, 0.0029250856621084696, -0.00015729018907872927]",0.7467204858118579,1.0
96,odometry,95,"odom(95,96)","[95, 96]","[-0.05121824592414154, 0.00688771073012447, 0.007960716593477635]",1.049539034801463,1.0
