factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
108,odometry,107,"odom(107,108)","[107, 108]","[-0.010453654272411517, -0.0007402271445611985, -0.006679030146082621]",0.41743983420223946,1.0
109,odometry,108,"odom(108,109)","[108, 109]","[-0.010438180840435463, -0.0007752847882817882, -0.006617723110862617]",0.41433865333184744,1.0
110,odometry,109,"odom(109,110)","[109, 110]","[-0.010444143592608479, -0.0007620758264305916, -0.006382677306292273]",0.40282746212532733,1.0
111,odometry,110,"odom(110,111)","[110, 111]","[-0.0040993136208254954, 0.0011152791642242525, 0.00045839991225715693]",0.08496529303980258,1.0
112,odometry,111,"odom(111,112)","[111, 112]","[-0.004080096134820466, 0.001126776677004786, 0.00033563368929323545]",0.08298985303597517,1.0
113,odometry,112,"odom(112,113)","[112, 113]","[-0.0035737353620336476, 0.0013802928685623939, -4.131217547209687e-05]",0.07604308732482429,1.0
114,odometry,113,"odom(113,114)","[113, 114]","[-0.002503145087171088, 0.001723988719884731, -0.00047239272047416847]",0.07201598067789226,1.0
115,odometry,114,"odom(114,115)","[114, 115]","[-0.0018895571138619616, 0.0018477549744329788, -0.0007226464797183141]",0.07469398011286597,1.0
116,odometry,115,"odom(115,116)","[115, 116]","[-0.009823355797039746, 0.004198174630986786, 0.0005062685008851986]",0.2169765658478005,1.0
117,odometry,116,"odom(116,117)","[116, 117]","[-0.010171316756384718, 0.0040600208725759075, -0.0005086862475263132]",0.2201249914786367,1.0
118,odometry,117,"odom(117,118)","[117, 118]","[-0.010182604610793344, 0.004055378639303213, -0.001570656120089442]",0.23519276752428325,1.0
119,odometry,118,"odom(118,119)","[118, 119]","[-0.00309658497513432, -0.014837826500916605, 0.0006979914299645174]",0.42941458542144506,1.0
120,odometry,119,"odom(119,120)","[119, 120]","[-0.004068462679123419, -0.014799296104286725, 0.0035429432616482792]",0.47223419981375325,1.0
121,odometry,120,"odom(120,121)","[120, 121]","[0.007524130645272464, 0.0002092226518779633, -0.005143540053001772]",0.3168674140207098,1.0
122,odometry,121,"odom(121,122)","[121, 122]","[0.007522074526864875, 0.00022099599951702284, -0.00515698856919089]",0.31753175865143285,1.0
123,odometry,122,"odom(122,123)","[122, 123]","[0.007288705951951968, -0.0007846323946664457, -0.004915719566920718]",0.30437772601003205,1.0
124,odometry,123,"odom(123,124)","[123, 124]","[0.005816841751989488, -0.001943958727614603, -0.004402645087974388]",0.27220427268520486,1.0
125,odometry,124,"odom(124,125)","[124, 125]","[0.004412677953619992, -0.0024767983759824974, -0.004108293008744379]",0.2520665136604235,1.0
126,odometry,125,"odom(125,126)","[125, 126]","[0.028236973398666265, -0.006250229180806441, -0.0016976594588138383]",0.5516922746075562,1.0
127,odometry,126,"odom(126,127)","[126, 127]","[0.017246613096826735, -0.007886479905028995, 0.0001964745642211163]",0.38629133308685926,1.0
128,odometry,127,"odom(127,128)","[127, 128]","[0.017405014292103282, -0.007829200757121915, 0.0010728487535791587]",0.3920892647891702,1.0
129,odometry,128,"odom(128,129)","[128, 129]","[0.017090116823610835, -0.007942147711401795, 0.002754955798901726]",0.41408938384807237,1.0
130,odometry,129,"odom(129,130)","[129, 130]","[0.016954830264284904, -0.007989559426620357, 0.004594196007168705]",0.4607415036088212,1.0
131,odometry,130,"odom(130,131)","[130, 131]","[-0.005752616350277018, -0.009952528343375117, -0.008460502640258216]",0.5592185581694465,1.0
132,odometry,131,"odom(131,132)","[131, 132]","[-0.005449361931323837, -0.009980475715866605, -0.007216981098612241]",0.5018829695752985,1.0
133,odometry,132,"odom(132,133)","[132, 133]","[-0.005179134210464675, -0.010004042908612974, -0.004958690254488918]",0.40799104364044747,1.0
134,odometry,133,"odom(133,134)","[133, 134]","[-0.009977435649621502, -0.009389060068655447, -0.003159498459306853]",0.36834986083534677,1.0
135,odometry,134,"odom(134,135)","[134, 135]","[-0.017828518440718477, -0.007235603898425064, -0.002440485534274117]",0.40767258759314434,1.0
136,odometry,135,"odom(135,136)","[135, 136]","[-0.02402449620042746, 0.0005338691547530222, 0.0013086133990571902]",0.4430803382346743,1.0
137,odometry,136,"odom(136,137)","[136, 137]","[-0.024000599755459984, 0.0006878855614229351, 0.0010437446442157494]",0.44064880499833764,1.0
138,odometry,137,"odom(137,138)","[137, 138]","[-0.02394954836224883, 0.0009352028439341201, 0.0008996921296104965]",0.43911930305451496,1.0
139,odometry,138,"odom(138,139)","[138, 139]","[-0.02401186694340407, 0.0006200318737005703, 0.0008657095759283528]",0.4395776683907647,1.0
140,odometry,139,"odom(139,140)","[139, 140]","[-0.024045465880183747, 0.0003458637349786457, 0.0008082239276032688]",0.43960110136411445,1.0
141,odometry,140,"odom(140,141)","[140, 141]","[0.0008683735778788337, 0.0004907848022014799, 0.005015211851334911]",0.2794219357471572,1.0
142,odometry,141,"odom(141,142)","[141, 142]","[0.0008590239642136677, 0.0004934570176785367, 0.004905197631616343]",0.2733220637825164,1.0
143,odometry,142,"odom(142,143)","[142, 143]","[0.0008554843764618791, 0.0004944403158644885, 0.004799808987218768]",0.2674826255682239,1.0
144,odometry,143,"odom(143,144)","[143, 144]","[0.0008561010695160576, 0.0004942362063509037, 0.004677346741165156]",0.26070109248532897,1.0
145,odometry,144,"odom(144,145)","[144, 145]","[0.014169512138708651, -0.005161329387499816, -0.00603208987410353]",0.44768416672650474,1.0
146,odometry,145,"odom(145,146)","[145, 146]","[-0.011661436734193287, -0.0010198186795957187, -0.015622825387389572]",0.893932212301317,1.0
147,odometry,146,"odom(146,147)","[146, 147]","[0.008752596518531663, -0.010585550482615724, -0.0010837207645284508]",0.34701922553838555,1.0
148,odometry,147,"odom(147,148)","[147, 148]","[0.011951157865274342, -0.008640245094156382, -0.00010080049333804908]",0.3289222601407178,1.0
149,odometry,148,"odom(148,149)","[148, 149]","[0.011619114849601764, -0.008714194767960658, 0.002018912462566025]",0.34525234052644793,1.0
150,odometry,149,"odom(149,150)","[149, 150]","[-0.006154196278429613, -0.0021705376365913284, -0.00235714102305451]",0.1830704196642665,1.0
151,odometry,150,"odom(150,151)","[150, 151]","[-0.007041635434390403, -0.0031254319810024335, -0.001856373199326189]",0.18708803631239887,1.0
152,odometry,151,"odom(151,152)","[151, 152]","[-0.00718044024988318, -0.0030732179643558452, -0.001110253852067089]",0.16899306675294665,1.0
153,odometry,152,"odom(152,153)","[152, 153]","[-0.006920795665956936, -0.0031694043111652123, -0.0004028384200656099]",0.15663593732664752,1.0
154,odometry,153,"odom(153,154)","[153, 154]","[-0.006932732592173363, -0.0031651324118115096, -4.83545255698381e-05]",0.15515717842013677,1.0
155,odometry,154,"odom(154,155)","[154, 155]","[-0.016098361114868842, -0.0031380716195973726, 0.0007884478352289115]",0.3092398013911088,1.0
156,odometry,155,"odom(155,156)","[155, 156]","[-0.02292293947068169, 0.0031256848656303626, -0.0029634287928299585]",0.4569313527403493,1.0
157,odometry,156,"odom(156,157)","[156, 157]","[-0.013444448082416294, 0.008142428856788508, -0.0052252996807946595]",0.44513562669283935,1.0
158,odometry,157,"odom(157,158)","[157, 158]","[-0.008108020393862936, 0.009228238913241047, -0.006219506401090147]",0.45895599913750695,1.0
159,odometry,158,"odom(158,159)","[158, 159]","[-0.007447754427589048, 0.009319055704974936, -0.008328642777443385]",0.5507486519419994,1.0
160,odometry,159,"odom(159,160)","[159, 160]","[-0.00791718477938752, 0.009255378367275906, -0.010531202352149549]",0.657991341253158,1.0
161,odometry,160,"odom(160,161)","[160, 161]","[0.007128092944562403, 0.004660014219308645, -0.0022469199041736942]",0.22384364361874434,1.0
162,odometry,161,"odom(161,162)","[161, 162]","[0.011515926999584813, 0.008398312257814976, -0.0043438721672450775]",0.3995690129795866,1.0
163,odometry,162,"odom(162,163)","[162, 163]","[0.011426379902762407, 0.008418346412973052, -0.006455493375971955]",0.479201956635775,1.0
164,odometry,163,"odom(163,164)","[163, 164]","[0.01781953127452146, 0.00634085798082723, -0.006355291373527638]",0.5123004485579185,1.0
165,odometry,164,"odom(164,165)","[164, 165]","[0.023675599762224997, -0.0005973349667024036, -0.006144353446279283]",0.5496486388107598,1.0
166,odometry,165,"odom(165,166)","[165, 166]","[0.00793444596498194, 0.016448521728715915, 0.004152277402243776]",0.5430342843863836,1.0
167,odometry,166,"odom(166,167)","[166, 167]","[0.009205213550787461, 0.016339586829212677, 0.0023944861530829087]",0.5134711686496661,1.0
168,odometry,167,"odom(167,168)","[167, 168]","[0.009066394181067805, 0.016352311913164778, -0.0014934584065322554]",0.5023361056591852,1.0
169,odometry,168,"odom(168,169)","[168, 169]","[0.006024363505871544, 0.01566364716863508, -0.005109321300258873]",0.5411605597163729,1.0
170,odometry,169,"odom(169,170)","[169, 170]","[0.006965796449747652, 0.015599498178567298, -0.006891136516414598]",0.6010457954316328,1.0
171,odometry,170,"odom(170,171)","[170, 171]","[-0.00923684223345489, 0.011753925577600917, -0.0086643751457407]",0.610480102040061,1.0
172,odometry,171,"odom(171,172)","[171, 172]","[-0.009001839006864243, 0.01178378825491471, -0.011680841993211288]",0.7491718754021711,1.0
173,odometry,172,"odom(172,173)","[172, 173]","[-0.021362280889983265, 0.008792574107407913, -0.012442765212932638]",0.831754255131053,1.0
174,odometry,173,"odom(173,174)","[173, 174]","[-0.029043818278719435, 0.0037165106507068314, -0.012805711768573591]",0.8923358109962192,1.0
175,odometry,174,"odom(174,175)","[174, 175]","[-0.02935673326327648, 0.0032887095395295503, -0.013597541037832173]",0.9297232366797482,1.0
176,odometry,175,"odom(175,176)","[175, 176]","[-0.015805605935356404, -0.0018158351606511747, -0.015016363229527041]",0.8838756783233678,1.0
177,odometry,176,"odom(176,177)","[176, 177]","[0.012635958507493522, 0.00377317784579358, -0.013054428508345595]",0.7683660353481009,1.0
178,odometry,177,"odom(177,178)","[177, 178]","[0.01275965734863993, 0.0037042781304295475, -0.013884176433945683]",0.812399353829195,1.0
179,odometry,178,"odom(178,179)","[178, 179]","[0.012174267983876885, 0.004014380290609975, -0.014517945251417697]",0.8442027188084957,1.0
180,odometry,179,"odom(179,180)","[179, 180]","[0.005708119806169476, 0.005922635623324957, -0.015215619043779327]",0.8683078757275122,1.0
181,odometry,180,"odom(180,181)","[180, 181]","[-0.03379586006691371, 0.014346716901175088, -0.031761113635336624]",1.9128719834848764,1.0
182,odometry,181,"odom(181,182)","[181, 182]","[-0.031469810943318355, 0.01518960254148398, -0.034316070028527434]",2.0372234772628235,1.0
183,odometry,182,"odom(182,183)","[182, 183]","[-0.0169913709428961, 0.016335239565655583, -0.03603363516437774]",2.0786406166696816,1.0
184,odometry,183,"odom(183,184)","[183, 184]","[-0.021910801886031228, 0.015344575637992759, -0.03887959610705671]",2.2397359777644255,1.0
185,odometry,184,"odom(184,185)","[184, 185]","[-0.0192501078608045, 0.01591903467583011, -0.04244564675083007]",2.426925371840996,1.0
186,odometry,185,"odom(185,186)","[185, 186]","[-0.032041431218437055, 0.01279616937350607, -0.02649949710599042]",1.6249345933914543,1.0
187,odometry,186,"odom(186,187)","[186, 187]","[-0.03383284311987511, 0.01201621107455142, -0.02762628183070337]",1.6887451403095393,1.0
188,odometry,187,"odom(187,188)","[187, 188]","[-0.0409771341648959, 0.007532693156983267, -0.028794435284716702]",1.7777550998584517,1.0
189,odometry,188,"odom(188,189)","[188, 189]","[-0.043507590878509195, 0.004656436911708681, -0.030560264230908185]",1.8777525597087656,1.0
190,odometry,189,"odom(189,190)","[189, 190]","[-0.043494361710612384, -0.000905084197399441, -0.03051048639522813]",1.8706042774832004,1.0
191,odometry,190,"odom(190,191)","[190, 191]","[0.013362797024009332, -0.007692102853278149, -0.01788851918439427]",1.046413832310678,1.0
192,odometry,191,"odom(191,192)","[191, 192]","[0.0132289456162491, -0.007729979777217844, -0.015733040335419446]",0.9330635278814444,1.0
193,odometry,192,"odom(192,193)","[192, 193]","[0.013231607761336917, -0.0077292690925094, -0.01492685463110055]",0.8912536516941346,1.0
194,odometry,193,"odom(193,194)","[193, 194]","[0.011744742660645735, -0.008113700636053017, -0.013238799327393025]",0.8001775018100704,1.0
195,odometry,194,"odom(194,195)","[194, 195]","[0.013352270070528749, -0.007695214230506963, -0.011294251382093723]",0.7077997445944043,1.0
196,odometry,195,"odom(195,196)","[195, 196]","[0.020938217935621783, -0.001677817690412111, -0.0010592330436001163]",0.388187439321894,1.0
197,odometry,196,"odom(196,197)","[196, 197]","[0.016269765334298136, -0.0014727970315357095, -0.000699029520024208]",0.30130507268161616,1.0
198,odometry,197,"odom(197,198)","[197, 198]","[0.016669868128872056, -9.004324614533821e-05, -0.0010349415433008602]",0.3085046853800638,1.0
199,odometry,198,"odom(198,199)","[198, 199]","[-0.0023570412092276394, -0.005691057658581102, -0.00557192829032882]",0.35227552789098565,1.0
