pose_id,x,y,theta
229,-4.750000000,14.500000000,0.745419476
230,-4.100000000,15.100000000,0.745419476
231,-3.450000000,15.700000000,0.745419476
232,-3.125000000,16.000000000,0.745419476
233,-2.475000000,16.600000000,0.745419476
234,-1.825000000,17.200000000,0.745419476
235,-1.500000000,17.500000000,0.116290653
236,-0.642857143,17.338095238,-0.186689331
237,0.214285714,17.176190476,-0.186689331
238,0.642857143,17.095238095,-0.186689331
239,1.500000000,16.933333333,-0.186689331
240,2.357142857,16.771428571,-0.186689331
241,3.214285714,16.609523810,-0.186689331
242,3.642857143,16.528571429,-0.186689331
243,4.500000000,16.366666667,-0.186689331
244,5.357142857,16.204761905,-0.186689331
245,5.785714286,16.123809524,-0.186689331
246,6.642857143,15.961904762,-0.186689331
247,7.500000000,15.800000000,-0.365134261
248,7.825000000,15.510000000,-0.728548916
249,8.475000000,14.930000000,-0.728548916
250,9.125000000,14.350000000,-0.728548916
251,9.450000000,14.060000000,-0.728548916
252,10.100000000,13.480000000,-0.728548916
253,10.750000000,12.900000000,-0.728548916
254,11.400000000,12.320000000,-0.728548916
255,11.725000000,12.030000000,-0.728548916
256,12.375000000,11.450000000,-0.728548916
257,13.025000000,10.870000000,-0.728548916
258,13.350000000,10.580000000,-0.728548916
259,14.000000000,10.000000000,-0.728548916
